user_id,session_id,timestamp,session_length,messages_sent,feedback_rating,resources_clicked,recommendation_id,recommendation_type,click_through_rate,feedback_score,moderator_id,chat_sessions_moderated,avg_response_time,user_satisfaction_score,assigned_sessions
73d11f2f-56f9-437f-b720-bd5c2293c3a6,caa70dce-7c17-44d3-8afb-c773f2a015ac,2024-06-06 09:47:44.600128,107,30,4,3,,,,,3bcb2fe1-26e3-491a-8745-5f2791663051,485,17.77,2,22
704f6569-7263-4490-9eda-ae15a8a8c94c,d3f58575-5133-4f50-81b9-d40d10a2cc24,2024-10-12 15:28:14.926310,56,15,4,1,,,,,f2085ef9-b916-4e0b-8f97-7dfca18c31ad,493,10.96,3,22
75c93e70-8082-484b-a0b6-4ea590bddcb0,3943c73b-8652-4059-8bdc-01915c252841,2024-07-01 21:30:38.935476,97,27,3,1,8409e9ba-4816-4d9b-ae18-b17056a6863a,Blog,0.27,1.0,4fa1a78d-d849-4e4c-a082-90d2c076f14e,332,11.8,5,15
623dfbbc-a001-43d2-8ff2-8dba1a9f3642,45d45552-5852-426c-b7bb-c372d93a742d,2024-10-03 23:27:47.556656,19,34,4,2,,,,,92c090af-e40b-4a12-979f-d7ddc810686c,330,12.64,5,15
2f690ff2-f2cb-46e9-912e-8b04bfa292a1,2138d00d-f7d4-49c7-91aa-ac51a40e3508,2024-04-16 06:50:33.720596,111,38,3,0,,,,,5c15fc91-8e31-4347-b717-14a4177cbff1,256,8.35,2,12
264c18df-cf41-49fd-9bd9-9f17b9e68549,f47d46ec-a26c-4024-9415-262d8316cd3f,2024-08-31 23:34:27.429215,76,33,4,4,1fe311e2-8485-4653-a2c4-ac50bd60d00e,Video,0.79,1.0,b86c6d0f-cb5f-418e-8f2e-b8cd87a85d1d,169,15.58,5,8
159c0665-af87-480f-b073-c36c031f5ac6,ca41f4c2-98f2-4819-a449-88ca3a1c0b26,2024-09-08 01:35:41.587595,65,24,4,3,7d735a46-1c33-4b0d-9568-1a0ccabf28b8,Blog,0.34,2.0,99415163-e4a7-44f5-82e5-ebcc6d19ef87,399,3.83,2,18
159c0665-af87-480f-b073-c36c031f5ac6,ca41f4c2-98f2-4819-a449-88ca3a1c0b26,2024-09-08 01:35:41.587595,65,24,4,3,a8fe8244-c3a5-48d7-b224-1524aca788be,Video,0.36,4.0,77fc23ba-42ec-486f-8bb0-e9ef1499933a,250,3.41,2,11
9e817dc4-0055-42ce-8c36-511fd3ec8a6e,8e4fa671-9bc3-498a-bb1a-58ffb3344575,2024-09-29 02:39:27.729580,25,15,1,1,,,,,5aa83f15-f8fb-4be9-b0d2-271cc5dee961,380,2.7,2,17
48133715-836b-4832-a942-66297dbd8dd7,5ecf0fab-3ca7-43ab-b111-e3b4404feb35,2024-02-17 01:41:54.583388,128,39,5,0,,,,,cb260e80-19a6-4ae3-8ad4-7a1334e2269d,269,11.11,2,12
9e728e3f-f11e-428b-a6f8-d447bf8b7056,5e42c22a-203d-459b-aa3f-e47576511b3b,2024-01-16 04:46:32.293158,104,54,5,2,,,,,40454813-56e2-437a-865c-43a03b1b6dea,436,5.35,3,20
826862c1-3e22-4c66-8be3-25be40a02ee5,14fb6c92-75a2-4638-8dae-d5f730b0ded1,2024-08-21 18:28:31.725956,91,25,6,1,9aa1efb3-e4b1-456e-a819-64055769adb4,Podcast,0.53,4.0,3cdba36a-03ce-4f77-8195-83a39fe1470a,163,18.53,3,7
26cc4b4f-fe7d-4502-aa0c-e72bb558e5ac,18950842-fe52-4a0c-b1af-5cec9929320f,2024-10-20 01:30:25.479236,79,5,5,2,,,,,a142fb7d-4100-4e2a-afbe-0a763ae38f09,138,19.73,3,6
0ecda11a-0ead-4294-a788-6a291d92b9e5,4e610188-9f9f-4145-b8a4-315813afb0b9,2024-11-10 14:22:00.084981,79,29,5,3,,,,,116daaf0-48b5-4419-bfb6-7554990e5b04,43,16.52,4,2
3b084f1a-428a-4c81-b313-a0dd1080bacd,4aced907-7a29-48ea-a32d-98e229957059,2024-09-14 17:20:40.338609,92,4,4,4,,,,,92c090af-e40b-4a12-979f-d7ddc810686c,330,12.64,5,15
7de5c5d8-9698-45da-8c6c-f24c3319f908,d709611b-c2fa-4748-acda-07e0167b4240,2024-08-24 15:20:47.456774,104,10,5,1,,,,,c554991b-ce5f-4a57-93d2-a3dca90039aa,369,11.41,5,17
e323c963-f318-4040-a110-eba7c5ec9777,edca0dfe-0084-464a-9b77-c966ca1dfa73,2024-01-15 12:58:06.513556,129,22,4,1,,,,,7f8b43f5-0152-4f7a-9faf-ae080017fe9a,358,6.04,2,16
5d6ee8d9-45b2-4089-a2d1-eda0f269fea6,bc7d3d37-5a5a-4353-a7e7-791a1dcad351,2024-07-30 16:12:18.176819,28,10,1,3,9c29b0af-86fa-44eb-a761-172e21ee38cb,Blog,0.28,3.0,5e26e3e5-d1f8-4803-9810-ecdbf634c080,441,7.48,2,20
5d6ee8d9-45b2-4089-a2d1-eda0f269fea6,bc7d3d37-5a5a-4353-a7e7-791a1dcad351,2024-07-30 16:12:18.176819,28,10,1,3,2a14f1e1-e974-4804-b1e8-375e0a26341e,Video,0.26,5.0,3ebd21aa-10ac-45b8-af2d-38a9a5cf17cf,179,2.0,3,8
26c6bfab-f810-48f0-8e4a-774283f4f4db,5520e26f-a24b-45f7-873a-0e1b7715cc15,2024-12-14 17:40:39.178972,8,22,5,0,6b1e8640-67e8-4ded-a470-04ccff72af0d,Video,0.24,2.0,79e74b69-af51-44cf-8df8-5edbbbf6d562,355,14.86,4,16
17571dfb-e204-4d62-9b37-71eead05355a,fb6f5ca2-9863-471a-8009-6d05b01c27ab,2024-03-21 04:22:25.555232,26,20,4,4,ab9f6212-1146-42aa-a0e1-c1d125d2b6ac,Video,0.14,5.0,64299ddd-d240-43e8-9054-25f78189bbff,264,9.65,2,12
9ca40bca-6062-41f9-a592-0c34f417d8fa,dba6de5a-29d0-4b9d-aa77-a9142034367f,2024-06-14 08:16:41.069334,57,24,3,1,2700c058-b5a6-443f-afe3-ccf7a873d608,Blog,0.37,3.0,94576ad0-2dba-45c2-9eb1-d824c582bfd2,261,9.5,3,12
9d40f18f-2833-4efa-84f6-0fe6dc345e6a,33fc86d0-f38b-4ed5-a4fb-e50e8493b397,2024-10-18 12:27:49.942999,6,5,1,4,f6d95287-30b5-4304-87bb-4f5010f7af8c,Video,0.49,2.0,94576ad0-2dba-45c2-9eb1-d824c582bfd2,261,9.5,3,12
78493011-60bd-4f5c-9e42-a7c73b77e229,d44ac02d-a202-467c-af25-a86f1f1d417f,2024-02-28 01:07:02.583461,110,44,3,1,6b2f7c6f-9fba-4a5d-9d1d-1009541b45c3,Blog,0.84,5.0,f9df2ca7-5c3b-49fe-aef7-564e55f54aca,17,9.55,2,1
fa249e68-37c7-4ebe-a92a-8003409001db,3b3f8997-8039-42aa-8c66-e8f38beaf06b,2024-11-28 18:42:22.611970,112,6,5,4,,,,,34bf3ff2-34d3-4105-966f-ada0b1332093,447,16.7,5,20
17697830-9bfe-4340-82fa-db91f06d1924,ef5f3101-5996-4dd2-b217-d6caed18737f,2025-01-04 06:13:32.115686,40,3,2,3,,,,,06069322-b9af-488c-8ee5-451195abfab3,283,16.18,2,13
8f0b3165-2eac-4eda-8db0-988921ccd2ee,e5e91a3d-613e-403f-98a3-39adf1531e32,2024-12-27 16:08:25.902177,50,16,5,1,f40342b6-518d-4fcf-8b73-9e01161dd9a0,Podcast,0.3,4.0,0b5b21c1-9399-4205-b595-3645105e6a87,345,11.3,5,16
8f0b3165-2eac-4eda-8db0-988921ccd2ee,e5e91a3d-613e-403f-98a3-39adf1531e32,2024-12-27 16:08:25.902177,50,16,5,1,253d4f1f-9dcf-4143-a279-7b69bf99e49a,Podcast,0.74,1.0,f2d417f1-5eb6-4849-9d3a-2c965f0278a6,477,14.77,2,21
736619ad-0cdb-4026-ab59-f8f0c2019635,1b0adacb-b32d-4449-a525-ec872cc764c3,2024-11-14 03:56:44.942951,6,43,3,4,,,,,c554991b-ce5f-4a57-93d2-a3dca90039aa,369,11.41,5,17
0f9f308d-ed00-415c-a3bd-19a866cb7065,2c28168d-e1c5-4699-9b5a-3e13a6a10831,2024-06-11 12:47:44.178993,68,43,1,0,,,,,6ed567f1-772b-4615-9ca1-5bb42ee7a9c8,413,5.01,5,19
e629ddb6-467e-4a6c-a0ff-e04c72ace0f0,76bd41bb-fc47-4aaf-bf00-2198682dfc70,2024-03-11 03:50:35.351612,64,48,1,2,,,,,d32e4b22-fdd1-4a8a-a667-7c4bc226b18f,427,7.08,4,19
18c1b036-9166-4aa7-a2de-7aacc990bdca,23007726-5867-40ff-a94b-f300b96c1ab4,2024-09-09 19:40:31.260159,25,11,4,2,a51b6fa8-70c3-4770-86dd-5c2e2d9612f3,Blog,0.59,5.0,9132caa1-bb9e-4a75-9efe-663693ee6180,480,12.15,4,22
